"","poll_house","Слуга.народу","Опозиційна.платформа","Європейська.солідарність","Батьківщина","Сила.і.Честь","Громадянська.позиція","Опозиційний.блок","Радикальна.партія","Українська.стратегія","Свобода","Самопоміч","Голос..Вакарчук..","Не.визначились","Не.піду.на.вибори","end_date","MoE","sigma"
"19","Соцмоніторинг, УІСД",29.3,8.1,7.5,7.1,3.8,3.4,2.4,2.1,NA,1.4,2,1.6,17.3,8.5,2019-05-19,2.2,1.1
"20","Рейтинг",33.3,8.1,6.4,5.5,3.8,1.8,2.4,2.5,NA,1.2,0.8,3.4,15.3,8.9,2019-05-21,2.2,1.1
"21","Соцмоніторинг, УІСД",29.5,8.3,7.3,7.1,4.2,3.2,2.4,2.1,NA,1.4,1.5,2.2,17,9.1,2019-05-23,2.2,1.1
"22","Соцмоніторинг, УІСД",30.8,8.2,7.9,7,3.8,3.5,1.8,2,NA,1.7,1.3,2.5,15.3,9.5,2019-05-31,2.2,1.1
"23","Рейтинг",37.8,8,6,5.7,3.3,2.2,1.3,1.8,NA,1,1.1,4.3,14.6,7.4,2019-06-03,2.2,1.1
"24","Социс",42.6,7.7,7.9,7.2,4.2,2.4,1,1.8,NA,1.3,1,4.1,12.5,4.5,2019-06-06,1.6,0.8
"25","Соцмоніторинг, УІСД",34.4,9.3,7.4,7.2,3.7,2.9,1.3,1.7,NA,1.4,1.5,3.9,13,7.3,2019-06-07,2.2,1.1
"26","КМІС",32.1,7.8,5.4,5.1,2.5,1.2,0.6,1.9,NA,1.3,0.4,3.7,25.7,8.1,2019-06-07,2.8,1.4
"27","Рейтинг",37,8.1,5.9,5.7,3.3,1.8,0.9,2,NA,0.8,0.7,5.2,14.1,8,2019-06-09,2.2,1.1
"28","Соцмоніторинг, УІСД",40.5,8.6,7.2,7.5,3.3,3.3,0.5,1.6,0.9,0.6,0.7,4.9,9.3,7.3,2019-06-10,2.3,1.15
"29","Рейтинг",34.5,8,3.6,5.2,3,1.6,1.3,1.6,NA,1.6,0.8,6,22,5,2019-06-12,2,1
"30","Социс",37.1,9.7,6.9,6.8,3.2,2.1,1.3,1.7,1,1.4,0.9,5.3,16.1,6.2,2019-06-19,2.2,1.1
"31","Демініціативи та Центр Разумкова",33.6,8.6,7.6,8.5,4.1,3.4,2.2,1.7,1.4,1.6,0.7,5.4,12.4,6.1,2019-06-20,2.3,1.15
"32","Соцмоніторинг, УІСД",35.1,9.3,6.5,6.8,3.4,3.5,0.7,2.3,0.9,1.3,0.7,5.3,13,9.5,2019-06-21,1.8,0.9
"33","Рейтинг",34.3,8.7,5.3,4.9,2.4,1.3,1.3,1.9,1.2,1.3,0.8,6.6,18.1,6.7,2019-06-24,2.2,1.1
"34","Соцмоніторинг, УІСД",34.9,9.6,6.6,7.6,3.3,3.2,1.8,1.7,1.2,1.4,0.9,6.7,11.6,7.6,2019-06-27,2.2,1.1
"35","Рейтинг",31.9,10,6.2,5.4,2.9,1.8,2.4,1.8,2.2,1.8,0.9,5.5,16.7,8.1,2019-07-03,2,1
"36","КМІС",34.587,10.065,6.588,4.392,2.928,1.281,1.83,1.7385,1.647,1.098,0.4575,3.111,19.947,8.5,2019-07-07,2.6,1.3
